"prompt_id","building_type","main_style","ev1","ev1_style","ev2","ev2_style","ev3","ev3_style","ev4","ev4_style","ev5","ev5_style","ev6","ev6_style","ev7","ev7_style","ev8","ev8_style","ev9","ev9_style","ev10","ev10_style"
"11","palace","Rococo","light pastel interiors","Rococo","asymmetric shell (rocaille) ornament","Rococo","gilded stucco","Rococo","curved organic detail","Rococo","rocaille shell, gilded stucco","Rococo","downward-tapering columns","Minoan-Mycenaean","thick walls","Pre-Romanesque","ablaq striped masonry","Mamluk","inward-sloping massive walls","Tibetan","hemispherical dagoba stupa","Sinhalese"
"12","church","Churrigueresque","extremely ornate retablo facades","Churrigueresque","estipite pilasters","Churrigueresque","dense sculptural surface","Churrigueresque","broken cornices","Churrigueresque","extremely dense relief","Churrigueresque","Doric/Ionic/Corinthian colonnade","Ancient Greek","horseshoe arches","Visigothic","horseshoe & polylobed arches","Moorish","gently curved tiled roof","Korean (Hanok)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"13","church","Manueline","maritime rope & knot ornament","Manueline","armillary spheres","Manueline","twisted columns","Manueline","elaborate portals","Manueline","maritime rope relief","Manueline","apadana hypostyle hall","Achaemenid Persian","alternating piers and columns","Ottonian","horseshoe & polylobed arches","Moorish","multi-tier upturned-eave roof","Traditional Chinese","bell-shaped stupa","Burmese"
"14","church","Spanish Colonial","whitewashed adobe/stucco walls","Spanish Colonial","red clay tile roofs","Spanish Colonial","arcaded courtyards","Spanish Colonial","ornate church portals","Spanish Colonial","stucco, clay tile","Spanish Colonial","massive battered (sloping) walls","Ancient Egyptian","basilica plan","Early Christian","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","curved tiled roof with ridge ornament","Vietnamese traditional"
"15","city hall","Dutch Colonial","stepped & spout gables","Dutch Colonial","brick facades","Dutch Colonial","tall sash windows","Dutch Colonial","gambrel roofs (colonies)","Dutch Colonial","stepped gable, gambrel","Dutch Colonial","podium temple","Etruscan","horseshoe arches","Visigothic","ablaq striped masonry","Mamluk","inward-sloping massive walls","Tibetan","hemispherical dagoba stupa","Sinhalese"
"16","museum","Neoclassical","grand Corinthian colonnade","Neoclassical","triangular pediment","Neoclassical","monumental symmetrical portico","Neoclassical","plain frieze","Neoclassical","domed rotunda","Neoclassical","podium temple","Etruscan","basilica churches","Coptic","ablaq striped masonry","Mamluk","gently curved tiled roof","Korean (Hanok)","curvilinear shikhara tower","North Indian temple (Nagara)"
"17","opera house","Beaux-Arts","grand symmetrical composition","Beaux-Arts","paired columns","Beaux-Arts","lavish sculptural decoration","Beaux-Arts","monumental stairs & arches","Beaux-Arts","monumental symmetrical","Beaux-Arts","round arches","Ancient Roman","thick walls","Pre-Romanesque","horseshoe & polylobed arches","Moorish","gently curved tiled roof","Korean (Hanok)","curvilinear shikhara tower","North Indian temple (Nagara)"
"18","library","Greek Revival","full-height Doric/Ionic portico","Greek Revival","temple-form facade","Greek Revival","white painted surfaces","Greek Revival","low-pitched gable","Greek Revival","Doric/Ionic portico","Greek Revival","apadana hypostyle hall","Achaemenid Persian","alternating piers and columns","Ottonian","hypostyle prayer hall","Umayyad-Abbasid","inward-sloping massive walls","Tibetan","curvilinear shikhara tower","North Indian temple (Nagara)"
"19","church","Gothic Revival","pointed arches","Gothic Revival","pinnacles & spires","Gothic Revival","tracery windows","Gothic Revival","polychrome stone","Gothic Revival","pointed","Gothic Revival","downward-tapering columns","Minoan-Mycenaean","thick walls","Pre-Romanesque","pointed arches","Indo-Islamic","multi-storey pagoda","Japanese Buddhist temple","steep multi-tier roofs","Thai"
"20","church","Romanesque Revival","heavy round arches","Romanesque Revival","rusticated stone","Romanesque Revival","short squat columns","Romanesque Revival","round towers","Romanesque Revival","round arch","Romanesque Revival","Doric/Ionic/Corinthian colonnade","Ancient Greek","basilica plan","Early Christian","keel arches","Fatimid","irimoya hip-and-gable roof","Traditional Japanese","bell-shaped stupa","Burmese"
"21","city hall","Renaissance Revival","symmetrical palazzo facade","Renaissance Revival","rusticated base","Renaissance Revival","round-arch windows","Renaissance Revival","bold cornice","Renaissance Revival","symmetrical palazzo","Renaissance Revival","downward-tapering columns","Minoan-Mycenaean","basilica plan","Early Christian","hypostyle prayer hall","Umayyad-Abbasid","multi-storey pagoda","Japanese Buddhist temple","stepped stone temple","Javanese (Candi)"
"22","church","Byzantine Revival","central domes","Byzantine Revival","round arches","Byzantine Revival","mosaic decoration","Byzantine Revival","polychrome brick","Byzantine Revival","central dome","Byzantine Revival","round arches","Ancient Roman","westwork facade","Carolingian","central onion dome","Mughal","multi-storey pagoda","Japanese Buddhist temple","bell-shaped stupa","Burmese"
"23","mausoleum","Egyptian Revival","battered walls","Egyptian Revival","lotus/papyrus columns","Egyptian Revival","cavetto cornice","Egyptian Revival","pylon forms","Egyptian Revival","lotus/papyrus capital","Egyptian Revival","ziggurat stepped platform","Mesopotamian","basilica plan","Early Christian","pointed arches","Indo-Islamic","gently curved tiled roof","Korean (Hanok)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"24","pavilion","Moorish Revival","horseshoe arches","Moorish Revival","onion domes","Moorish Revival","polychrome tilework","Moorish Revival","arabesque ornament","Moorish Revival","horseshoe","Moorish Revival","massive battered (sloping) walls","Ancient Egyptian","westwork facade","Carolingian","keel arches","Fatimid","inward-sloping massive walls","Tibetan","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"25","church","Russian Revival","onion domes","Russian Revival","kokoshnik gables","Russian Revival","tented roofs","Russian Revival","polychrome brick & tile","Russian Revival","onion dome, tented","Russian Revival","podium temple","Etruscan","alternating piers and columns","Ottonian","central onion dome","Mughal","gently curved tiled roof","Korean (Hanok)","curvilinear shikhara tower","North Indian temple (Nagara)"
"26","city hall","Second Empire","mansard roof","Second Empire","dormer windows","Second Empire","paired columns","Second Empire","ornate cresting","Second Empire","mansard","Second Empire","Doric/Ionic/Corinthian colonnade","Ancient Greek","horseshoe arches","Visigothic","horseshoe & polylobed arches","Moorish","irimoya hip-and-gable roof","Traditional Japanese","stepped stone temple","Javanese (Candi)"
"27","mansion","Italianate","low-pitched roof with wide eaves","Italianate","decorative brackets","Italianate","tall round-arched windows","Italianate","belvedere tower","Italianate","low with bracketed eaves","Italianate","Doric/Ionic/Corinthian colonnade","Ancient Greek","thick walls","Pre-Romanesque","large central dome with semidomes","Ottoman","inward-sloping massive walls","Tibetan","hemispherical dagoba stupa","Sinhalese"
"28","mansion","Tudor Revival","decorative half-timbering","Tudor Revival","steep gable roofs","Tudor Revival","tall narrow windows","Tudor Revival","prominent brick chimneys","Tudor Revival","half-timbering","Tudor Revival","downward-tapering columns","Minoan-Mycenaean","central pendentive dome","Byzantine","hypostyle prayer hall","Umayyad-Abbasid","irimoya hip-and-gable roof","Traditional Japanese","corncob/lotus prasat towers","Khmer (Angkorian)"
"29","government hall","Colonial Revival","symmetrical facade","Colonial Revival","central pedimented entry","Colonial Revival","double-hung windows with shutters","Colonial Revival","columned porch","Colonial Revival","symmetrical","Colonial Revival","ziggurat stepped platform","Mesopotamian","westwork facade","Carolingian","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","steep multi-tier roofs","Thai"
"30","church","Spanish Colonial Revival","white stucco walls","Spanish Colonial Revival","red clay tile roofs","Spanish Colonial Revival","arched openings","Spanish Colonial Revival","decorative ironwork","Spanish Colonial Revival","stucco, clay tile","Spanish Colonial Revival","apadana hypostyle hall","Achaemenid Persian","basilica plan","Early Christian","ablaq striped masonry","Mamluk","multi-storey pagoda","Japanese Buddhist temple","bell-shaped stupa","Burmese"
"31","church","Mission Revival","curvilinear mission gables","Mission Revival","arcaded porches","Mission Revival","smooth stucco","Mission Revival","bell-tower (espadaña)","Mission Revival","curvilinear gable, clay tile","Mission Revival","apadana hypostyle hall","Achaemenid Persian","basilica churches","Coptic","keel arches","Fatimid","multi-storey pagoda","Japanese Buddhist temple","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"32","mansion","Georgian","strict symmetry","Georgian","brick facade with quoins","Georgian","sash windows in rows","Georgian","pedimented doorway","Georgian","symmetrical","Georgian","round arches","Ancient Roman","horseshoe arches","Visigothic","keel arches","Fatimid","multi-tier upturned-eave roof","Traditional Chinese","curved tiled roof with ridge ornament","Vietnamese traditional"
"33","government hall","Federal","delicate classical detailing","Federal","fanlight over door","Federal","elliptical windows","Federal","slender columns","Federal","symmetrical","Federal","downward-tapering columns","Minoan-Mycenaean","westwork facade","Carolingian","keel arches","Fatimid","inward-sloping massive walls","Tibetan","steep multi-tier roofs","Thai"
"34","opera house","Regency","stucco-rendered facades","Regency","bow windows","Regency","wrought-iron balconies","Regency","restrained classical detail","Regency","stucco","Regency","podium temple","Etruscan","westwork facade","Carolingian","pointed arches","Indo-Islamic","multi-tier upturned-eave roof","Traditional Chinese","curved tiled roof with ridge ornament","Vietnamese traditional"
"35","city hall","Victorian (Queen Anne)","asymmetric massing","Victorian (Queen Anne)","wraparound porches","Victorian (Queen Anne)","turrets","Victorian (Queen Anne)","decorative gingerbread trim","Victorian (Queen Anne)","polychrome surfaces","Victorian (Queen Anne)","Doric/Ionic/Corinthian colonnade","Ancient Greek","basilica plan","Early Christian","pointed arches","Indo-Islamic","inward-sloping massive walls","Tibetan","curved tiled roof with ridge ornament","Vietnamese traditional"
"36","city hall","Gründerzeit","historicist eclectic facades","Gründerzeit","stucco ornament","Gründerzeit","tall apartment blocks","Gründerzeit","ornate cornices","Gründerzeit","symmetrical block","Gründerzeit","massive battered (sloping) walls","Ancient Egyptian","central pendentive dome","Byzantine","pointed arches","Indo-Islamic","gently curved tiled roof","Korean (Hanok)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"37","mansion","Jacobean","strapwork ornament","Jacobean","mullioned windows","Jacobean","shaped gables","Jacobean","ornate chimneys","Jacobean","strapwork","Jacobean","podium temple","Etruscan","central pendentive dome","Byzantine","central onion dome","Mughal","gently curved tiled roof","Korean (Hanok)","curved tiled roof with ridge ornament","Vietnamese traditional"
"38","library","Arts and Crafts","handcrafted natural materials","Arts and Crafts","exposed timber joinery","Arts and Crafts","low gable with deep eaves","Arts and Crafts","tapered porch columns","Arts and Crafts","timber, brick, stone","Arts and Crafts","round arches","Ancient Roman","basilica plan","Early Christian","central onion dome","Mughal","inward-sloping massive walls","Tibetan","stepped stone temple","Javanese (Candi)"
"39","mansion","Art Nouveau","whiplash curved lines","Art Nouveau","organic floral ironwork","Art Nouveau","curved iron balconies","Art Nouveau","plant-like sculptural ornament","Art Nouveau","asymmetric flowing facade","Art Nouveau","podium temple","Etruscan","horseshoe arches","Visigothic","large central dome with semidomes","Ottoman","gently curved tiled roof","Korean (Hanok)","bell-shaped stupa","Burmese"
"40","museum","Jugendstil/Secession","geometric stylized ornament","Jugendstil/Secession","gilded motifs","Jugendstil/Secession","flat decorative friezes","Jugendstil/Secession","restrained organic lines","Jugendstil/Secession","geometric stylized, gilded","Jugendstil/Secession","downward-tapering columns","Minoan-Mycenaean","horseshoe arches","Visigothic","keel arches","Fatimid","inward-sloping massive walls","Tibetan","bell-shaped stupa","Burmese"
"41","church","Catalan Modernisme","organic undulating forms","Catalan Modernisme","trencadís broken-tile mosaic","Catalan Modernisme","parabolic arches","Catalan Modernisme","naturalistic sculpture","Catalan Modernisme","organic undulating","Catalan Modernisme","apadana hypostyle hall","Achaemenid Persian","basilica plan","Early Christian","horseshoe & polylobed arches","Moorish","multi-storey pagoda","Japanese Buddhist temple","curvilinear shikhara tower","North Indian temple (Nagara)"
"42","mansion","Prairie School","strong horizontal lines","Prairie School","low-pitched hipped roof with deep overhangs","Prairie School","ribbon windows","Prairie School","open flowing plan","Prairie School","horizontal emphasis","Prairie School","apadana hypostyle hall","Achaemenid Persian","basilica plan","Early Christian","pointed arches","Indo-Islamic","irimoya hip-and-gable roof","Traditional Japanese","corncob/lotus prasat towers","Khmer (Angkorian)"
"43","skyscraper","Art Deco","stepped setback massing","Art Deco","vertical fluted piers","Art Deco","zigzag/chevron geometric ornament","Art Deco","sunburst motifs","Art Deco","decorative metal spandrels","Art Deco","podium temple","Etruscan","westwork facade","Carolingian","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"44","train station","Streamline Moderne","aerodynamic rounded corners","Streamline Moderne","horizontal banding","Streamline Moderne","smooth white walls","Streamline Moderne","porthole windows","Streamline Moderne","rounded horizontal","Streamline Moderne","apadana hypostyle hall","Achaemenid Persian","horseshoe arches","Visigothic","hypostyle prayer hall","Umayyad-Abbasid","gently curved tiled roof","Korean (Hanok)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"45","museum","Expressionism","distorted sculptural forms","Expressionism","brick or concrete shaped masses","Expressionism","crystalline/jagged motifs","Expressionism","dramatic silhouettes","Expressionism","sculptural distorted","Expressionism","podium temple","Etruscan","horseshoe arches","Visigothic","hypostyle prayer hall","Umayyad-Abbasid","multi-storey pagoda","Japanese Buddhist temple","corncob/lotus prasat towers","Khmer (Angkorian)"
"46","library","Amsterdam School","sculpted expressive brickwork","Amsterdam School","rounded corners","Amsterdam School","decorative masonry detailing","Amsterdam School","wavy facades","Amsterdam School","expressive brick","Amsterdam School","Doric/Ionic/Corinthian colonnade","Ancient Greek","basilica churches","Coptic","keel arches","Fatimid","irimoya hip-and-gable roof","Traditional Japanese","steep multi-tier roofs","Thai"
"47","government hall","Constructivism","bold geometric volumes","Constructivism","exposed structure","Constructivism","dynamic asymmetry","Constructivism","industrial aesthetic","Constructivism","bold geometric, dynamic asymmetry","Constructivism","massive battered (sloping) walls","Ancient Egyptian","basilica churches","Coptic","keel arches","Fatimid","multi-storey pagoda","Japanese Buddhist temple","corncob/lotus prasat towers","Khmer (Angkorian)"
"48","pavilion","De Stijl","intersecting planes","De Stijl","primary-colour blocks","De Stijl","rectilinear composition","De Stijl","floating horizontal/vertical elements","De Stijl","intersecting planes, rectilinear","De Stijl","Doric/Ionic/Corinthian colonnade","Ancient Greek","westwork facade","Carolingian","pointed arches","Indo-Islamic","irimoya hip-and-gable roof","Traditional Japanese","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"49","train station","Futurism","dynamic sweeping lines","Futurism","emphasis on speed/movement","Futurism","monumental industrial forms","Futurism","stepped massing","Futurism","dynamic sweeping","Futurism","ziggurat stepped platform","Mesopotamian","horseshoe arches","Visigothic","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","curvilinear shikhara tower","North Indian temple (Nagara)"
"50","museum","Bauhaus","functional cubic forms","Bauhaus","flat roofs","Bauhaus","ribbon windows","Bauhaus","no applied ornament","Bauhaus","white render","Bauhaus","podium temple","Etruscan","basilica plan","Early Christian","pointed arches","Indo-Islamic","inward-sloping massive walls","Tibetan","stepped stone temple","Javanese (Candi)"
"51","government hall","International Style/Modernism","flat roof","International Style/Modernism","glass curtain wall","International Style/Modernism","pilotis (raised on columns)","International Style/Modernism","ribbon windows","International Style/Modernism","unadorned white planar walls","International Style/Modernism","massive battered (sloping) walls","Ancient Egyptian","horseshoe arches","Visigothic","large central dome with semidomes","Ottoman","multi-storey pagoda","Japanese Buddhist temple","corncob/lotus prasat towers","Khmer (Angkorian)"
"52","pavilion","Mid-Century Modern","low flat or butterfly roof","Mid-Century Modern","large glass walls","Mid-Century Modern","post-and-beam","Mid-Century Modern","integration with landscape","Mid-Century Modern","flat / butterfly","Mid-Century Modern","massive battered (sloping) walls","Ancient Egyptian","alternating piers and columns","Ottonian","hypostyle prayer hall","Umayyad-Abbasid","multi-tier upturned-eave roof","Traditional Chinese","corncob/lotus prasat towers","Khmer (Angkorian)"
"53","library","Brutalism","massive board-formed exposed concrete","Brutalism","blocky monolithic volumes","Brutalism","deep recessed windows","Brutalism","heavy cantilevers","Brutalism","raw geometric massing","Brutalism","round arches","Ancient Roman","alternating piers and columns","Ottonian","pointed arches","Indo-Islamic","gently curved tiled roof","Korean (Hanok)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"54","skyscraper","Metabolism","modular plug-in capsules","Metabolism","megastructure cores","Metabolism","expandable units","Metabolism","exposed services","Metabolism","modular megastructure","Metabolism","podium temple","Etruscan","horseshoe arches","Visigothic","keel arches","Fatimid","gently curved tiled roof","Korean (Hanok)","steep multi-tier roofs","Thai"
"55","museum","Organic architecture","forms integrated with nature","Organic architecture","flowing curved volumes","Organic architecture","natural materials","Organic architecture","site-specific massing","Organic architecture","organic flowing","Organic architecture","round arches","Ancient Roman","horseshoe arches","Visigothic","keel arches","Fatimid","gently curved tiled roof","Korean (Hanok)","corncob/lotus prasat towers","Khmer (Angkorian)"
"56","train station","Googie","upswept cantilevered roofs","Googie","boomerang & atomic motifs","Googie","large plate glass","Googie","bold neon signage","Googie","upswept cantilever","Googie","round arches","Ancient Roman","horseshoe arches","Visigothic","hypostyle prayer hall","Umayyad-Abbasid","multi-storey pagoda","Japanese Buddhist temple","pyramidal gopuram gateway tower","South Indian temple (Dravidian)"
"57","city hall","Postmodernism","ironic classical references","Postmodernism","bold colour & ornament","Postmodernism","exaggerated pediments/columns","Postmodernism","eclectic mixing","Postmodernism","ironic classical, playful","Postmodernism","downward-tapering columns","Minoan-Mycenaean","horseshoe arches","Visigothic","ablaq striped masonry","Mamluk","gently curved tiled roof","Korean (Hanok)","bell-shaped stupa","Burmese"
"58","museum","Deconstructivism","fragmented distorted volumes","Deconstructivism","non-rectilinear skewed forms","Deconstructivism","clashing planes","Deconstructivism","absence of symmetry","Deconstructivism","fragmented, skewed","Deconstructivism","ziggurat stepped platform","Mesopotamian","basilica plan","Early Christian","pointed arches","Indo-Islamic","inward-sloping massive walls","Tibetan","stepped stone temple","Javanese (Candi)"
"59","train station","High-tech","exposed steel structure","High-tech","external ducts & services","High-tech","glass-and-steel facade","High-tech","visible tension cables","High-tech","modular industrial look","High-tech","apadana hypostyle hall","Achaemenid Persian","basilica churches","Coptic","horseshoe & polylobed arches","Moorish","gently curved tiled roof","Korean (Hanok)","hemispherical dagoba stupa","Sinhalese"
"60","museum","Neo-futurism","sleek flowing curved forms","Neo-futurism","smooth seamless skins","Neo-futurism","dynamic sweeping silhouettes","Neo-futurism","advanced materials","Neo-futurism","flowing curved, dynamic","Neo-futurism","Doric/Ionic/Corinthian colonnade","Ancient Greek","horseshoe arches","Visigothic","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","curved tiled roof with ridge ornament","Vietnamese traditional"
"61","opera house","Parametricism/Blobitecture","complex algorithmic curved geometry","Parametricism/Blobitecture","blob-like organic envelopes","Parametricism/Blobitecture","continuous fluid surfaces","Parametricism/Blobitecture","non-repeating panels","Parametricism/Blobitecture","blob/freeform, parametric","Parametricism/Blobitecture","apadana hypostyle hall","Achaemenid Persian","basilica plan","Early Christian","hypostyle prayer hall","Umayyad-Abbasid","inward-sloping massive walls","Tibetan","corncob/lotus prasat towers","Khmer (Angkorian)"
"62","museum","Critical Regionalism","modern forms with local materials","Critical Regionalism","response to climate & light","Critical Regionalism","tactile regional textures","Critical Regionalism","restrained massing","Critical Regionalism","local stone/timber/concrete","Critical Regionalism","ziggurat stepped platform","Mesopotamian","basilica plan","Early Christian","ablaq striped masonry","Mamluk","irimoya hip-and-gable roof","Traditional Japanese","stepped stone temple","Javanese (Candi)"
"63","library","Minimalism","pure simple volumes","Minimalism","monochrome palette","Minimalism","no ornament","Minimalism","precise clean joints","Minimalism","none","Minimalism","Doric/Ionic/Corinthian colonnade","Ancient Greek","thick walls","Pre-Romanesque","bulbous tiled domes","Safavid/Persian","multi-storey pagoda","Japanese Buddhist temple","steep multi-tier roofs","Thai"
"64","pavilion","Contemporary vernacular","traditional local forms reinterpreted","Contemporary vernacular","natural & local materials","Contemporary vernacular","pitched roofs","Contemporary vernacular","human-scale massing","Contemporary vernacular","local timber/brick/stone","Contemporary vernacular","Doric/Ionic/Corinthian colonnade","Ancient Greek","westwork facade","Carolingian","bulbous tiled domes","Safavid/Persian","multi-tier upturned-eave roof","Traditional Chinese","stepped stone temple","Javanese (Candi)"
"65","temple","Ancient Greek","Doric/Ionic/Corinthian colonnade","Ancient Greek","triangular pediment","Ancient Greek","entablature with triglyphs","Ancient Greek","peristyle temple","Ancient Greek","symmetrical, post-and-beam","Ancient Greek","thick walls","Pre-Romanesque","pointed arches","Indo-Islamic","irimoya hip-and-gable roof","Traditional Japanese","corncob/lotus prasat towers","Khmer (Angkorian)","stepped pyramid with temple","Maya"
"66","government hall","Ancient Roman","round arches","Ancient Roman","barrel & groin vaults","Ancient Roman","concrete domes (oculus)","Ancient Roman","engaged columns","Ancient Roman","monumental, axial","Ancient Roman","alternating piers and columns","Ottonian","ablaq striped masonry","Mamluk","multi-tier upturned-eave roof","Traditional Chinese","pyramidal gopuram gateway tower","South Indian temple (Dravidian)","coral-stone construction","Swahili"
"67","mausoleum","Ancient Egyptian","massive battered (sloping) walls","Ancient Egyptian","lotus/papyrus capitals","Ancient Egyptian","pylon gateways","Ancient Egyptian","hypostyle halls","Ancient Egyptian","monumental, axial","Ancient Egyptian","alternating piers and columns","Ottonian","ablaq striped masonry","Mamluk","gently curved tiled roof","Korean (Hanok)","bell-shaped stupa","Burmese","mud-brick (banco) walls","Sudano-Sahelian"
"68","temple","Mesopotamian","ziggurat stepped platform","Mesopotamian","mud-brick construction","Mesopotamian","glazed brick relief","Mesopotamian","buttressed walls","Mesopotamian","stepped/ziggurat","Mesopotamian","westwork facade","Carolingian","ablaq striped masonry","Mamluk","multi-tier upturned-eave roof","Traditional Chinese","hemispherical dagoba stupa","Sinhalese","precise ashlar drystone masonry","Inca"
"69","palace","Achaemenid Persian","apadana hypostyle hall","Achaemenid Persian","double-bull column capitals","Achaemenid Persian","monumental stairways with relief","Achaemenid Persian","tall slender columns","Achaemenid Persian","tall fluted columns, animal capitals","Achaemenid Persian","central pendentive dome","Byzantine","large central dome with semidomes","Ottoman","irimoya hip-and-gable roof","Traditional Japanese","pyramidal gopuram gateway tower","South Indian temple (Dravidian)","mud-brick (banco) walls","Sudano-Sahelian"
"70","temple","Etruscan","podium temple","Etruscan","wide eaves","Etruscan","terracotta ornament","Etruscan","Tuscan columns","Etruscan","Tuscan","Etruscan","thick walls","Pre-Romanesque","hypostyle prayer hall","Umayyad-Abbasid","multi-tier upturned-eave roof","Traditional Chinese","corncob/lotus prasat towers","Khmer (Angkorian)","coral-stone construction","Swahili"
"71","cathedral","Byzantine","central pendentive dome","Byzantine","gold mosaic surfaces","Byzantine","Greek-cross plan","Byzantine","round arches","Byzantine","centralized","Byzantine","massive battered (sloping) walls","Ancient Egyptian","ablaq striped masonry","Mamluk","multi-tier upturned-eave roof","Traditional Chinese","curved tiled roof with ridge ornament","Vietnamese traditional","stepped pyramid with temple","Maya"
"72","church","Early Christian","basilica plan","Early Christian","clerestory windows","Early Christian","timber-roofed nave","Early Christian","apse","Early Christian","basilica","Early Christian","apadana hypostyle hall","Achaemenid Persian","central onion dome","Mughal","multi-tier upturned-eave roof","Traditional Chinese","bell-shaped stupa","Burmese","stacked adobe massing","Pueblo"
"73","cathedral","Carolingian","westwork facade","Carolingian","twin towers","Carolingian","round arches","Carolingian","modular plan","Carolingian","round arch","Carolingian","podium temple","Etruscan","bulbous tiled domes","Safavid/Persian","gently curved tiled roof","Korean (Hanok)","curvilinear shikhara tower","North Indian temple (Nagara)","stacked adobe massing","Pueblo"
"74","cathedral","Ottonian","alternating piers and columns","Ottonian","flat timber ceilings","Ottonian","round arches","Ottonian","double-ended choirs","Ottonian","round arch","Ottonian","podium temple","Etruscan","horseshoe & polylobed arches","Moorish","gently curved tiled roof","Korean (Hanok)","steep multi-tier roofs","Thai","stepped pyramid with temple","Maya"
